# ----------------------------------------,,,,
# Alexa Internet,,,,
# Competitive Intelligence,,,,
# Historical Traffic Trends: Pageviews Percent,,,,
# 4/22/2018 (MM/DD/YYYY UTC),,,,
# ----------------------------------------,,,,
Date,Metric,bitfinex.com,binance.com,coinbase.com
4/22/2016,Pageviews %,0.0000014,,1.2E-05
4/23/2016,Pageviews %,0.0000014,,0.0000095
4/24/2016,Pageviews %,1.5E-06,,0.000015
4/25/2016,Pageviews %,1.5E-06,,0.000009
4/26/2016,Pageviews %,0.0000016,,0.000018
4/27/2016,Pageviews %,0.0000023,,0.000011
4/28/2016,Pageviews %,0.0000017,,0.0000166
4/29/2016,Pageviews %,7.80E-07,,1.2E-05
4/30/2016,Pageviews %,0.0000021,,0.000011
5/1/2016,Pageviews %,9.40E-07,,0.000018
5/2/2016,Pageviews %,1.3E-06,,0.00001
5/3/2016,Pageviews %,8.80E-07,,0.00001
5/4/2016,Pageviews %,8.60E-07,,0.0000097
5/5/2016,Pageviews %,0.0000012,,0.0000097
5/6/2016,Pageviews %,0.0000014,,0.0000148
5/7/2016,Pageviews %,0.0000016,,0.000014
5/8/2016,Pageviews %,0.0000018,,0.000015
5/9/2016,Pageviews %,1.3E-06,,0.0000072
5/10/2016,Pageviews %,8.00E-07,,0.0000095
5/11/2016,Pageviews %,9.00E-07,,0.000009
5/12/2016,Pageviews %,9.30E-07,,0.0000079
5/13/2016,Pageviews %,0.0000011,,0.0000141
5/14/2016,Pageviews %,0.0000011,,0.000014
5/15/2016,Pageviews %,0.0000012,,0.00001
5/16/2016,Pageviews %,0.0000011,,0.0000096
5/17/2016,Pageviews %,0.000002,,1.2E-05
5/18/2016,Pageviews %,0.0000027,,0.000014
5/19/2016,Pageviews %,0.0000017,,0.0000144
5/20/2016,Pageviews %,0.0000014,,0.000016
5/21/2016,Pageviews %,7.90E-07,,0.000015
5/22/2016,Pageviews %,1.5E-06,,0.000016
5/23/2016,Pageviews %,0.0000011,,0.000016
5/24/2016,Pageviews %,1.3E-06,,0.00001
5/25/2016,Pageviews %,1.3E-06,,0.0000135
5/26/2016,Pageviews %,1.3E-06,,0.0000174
5/27/2016,Pageviews %,1.5E-06,,0.0000223
5/28/2016,Pageviews %,0.0000037,,2.11E-05
5/29/2016,Pageviews %,0.0000044,,0.000014
5/30/2016,Pageviews %,3E-06,,0.0000167
5/31/2016,Pageviews %,0.0000031,,1.2E-05
6/1/2016,Pageviews %,0.000001,,0.0000161
6/2/2016,Pageviews %,0.0000021,,0.000013
6/3/2016,Pageviews %,0.0000019,,0.0000186
6/4/2016,Pageviews %,0.0000023,,0.000014
6/5/2016,Pageviews %,0.0000016,,0.0000196
6/6/2016,Pageviews %,0.000002,,0.0000167
6/7/2016,Pageviews %,2.6E-06,,0.00002
6/8/2016,Pageviews %,0.0000027,,0.0000145
6/9/2016,Pageviews %,0.0000017,,0.0000152
6/10/2016,Pageviews %,0.0000017,,0.0000168
6/11/2016,Pageviews %,0.0000017,,0.000018
6/12/2016,Pageviews %,0.0000033,,0.0000255
6/13/2016,Pageviews %,0.0000028,,0.0000256
6/14/2016,Pageviews %,0.0000027,,0.000014
6/15/2016,Pageviews %,0.0000027,,0.0000232
6/16/2016,Pageviews %,0.0000033,,2.4E-05
6/17/2016,Pageviews %,0.0000035,,0.0000259
6/18/2016,Pageviews %,0.0000027,,0.0000284
6/19/2016,Pageviews %,0.0000027,,0.000026
6/20/2016,Pageviews %,0.0000028,,0.000015
6/21/2016,Pageviews %,0.0000043,,0.0000216
6/22/2016,Pageviews %,0.0000049,,0.0000153
6/23/2016,Pageviews %,0.0000042,,0.0000265
6/24/2016,Pageviews %,0.0000058,,0.000018
6/25/2016,Pageviews %,0.0000063,,0.000018
6/26/2016,Pageviews %,0.0000034,,0.000023
6/27/2016,Pageviews %,0.0000027,,0.000013
6/28/2016,Pageviews %,0.0000028,,0.000015
6/29/2016,Pageviews %,0.0000022,,0.00002
6/30/2016,Pageviews %,0.0000024,,0.0000207
7/1/2016,Pageviews %,0.0000025,,0.000026
7/2/2016,Pageviews %,0.0000019,,0.000023
7/3/2016,Pageviews %,0.0000041,,0.00002
7/4/2016,Pageviews %,0.0000027,,0.0000201
7/5/2016,Pageviews %,0.0000028,,1.2E-05
7/6/2016,Pageviews %,0.0000027,,2.11E-05
7/7/2016,Pageviews %,0.0000029,,0.000013
7/8/2016,Pageviews %,0.0000032,,0.000013
7/9/2016,Pageviews %,0.0000053,,0.000017
7/10/2016,Pageviews %,0.0000021,,0.00002
7/11/2016,Pageviews %,0.0000037,,0.000011
7/12/2016,Pageviews %,0.0000034,,2.4E-05
7/13/2016,Pageviews %,0.0000029,,0.000022
7/14/2016,Pageviews %,0.0000055,,0.000049
7/15/2016,Pageviews %,0.0000021,,2.4E-05
7/16/2016,Pageviews %,0.0000023,,0.000025
7/17/2016,Pageviews %,0.0000054,,0.000034
7/18/2016,Pageviews %,0.0000022,,0.000019
7/19/2016,Pageviews %,0.0000029,,0.000021
7/20/2016,Pageviews %,0.000002,,0.00001
7/21/2016,Pageviews %,1.3E-06,,0.000013
7/22/2016,Pageviews %,0.0000028,,0.000017
7/23/2016,Pageviews %,0.0000037,,0.000015
7/24/2016,Pageviews %,0.0000029,,0.000023
7/25/2016,Pageviews %,0.0000019,,0.000022
7/26/2016,Pageviews %,0.0000037,,0.000017
7/27/2016,Pageviews %,0.0000044,,0.000016
7/28/2016,Pageviews %,0.0000038,,0.00001
7/29/2016,Pageviews %,0.0000032,,0.000013
7/30/2016,Pageviews %,2.6E-06,,0.000013
7/31/2016,Pageviews %,0.0000041,,0.000023
8/1/2016,Pageviews %,0.0000024,,0.000014
8/2/2016,Pageviews %,0.0000021,,0.000015
8/3/2016,Pageviews %,0.0000014,,0.0000174
8/4/2016,Pageviews %,8.00E-07,,0.000014
8/5/2016,Pageviews %,5.90E-07,,0.000015
8/6/2016,Pageviews %,5.50E-07,,0.000013
8/7/2016,Pageviews %,0.0000016,,0.000017
8/8/2016,Pageviews %,0.0000045,,0.000013
8/9/2016,Pageviews %,0.0000038,,0.000015
8/10/2016,Pageviews %,0.0000067,,0.000013
8/11/2016,Pageviews %,0.0000057,,0.000015
8/12/2016,Pageviews %,0.0000019,,0.000013
8/13/2016,Pageviews %,0.0000043,,0.000015
8/14/2016,Pageviews %,0.0000021,,0.000015
8/15/2016,Pageviews %,0.0000031,,0.0000209
8/16/2016,Pageviews %,0.0000021,,0.000014
8/17/2016,Pageviews %,0.0000024,,0.000014
8/18/2016,Pageviews %,0.0000017,,0.000014
8/19/2016,Pageviews %,0.0000012,,0.000015
8/20/2016,Pageviews %,0.0000027,,0.000013
8/21/2016,Pageviews %,0.0000014,,0.000017
8/22/2016,Pageviews %,0.0000031,,0.000011
8/23/2016,Pageviews %,1.5E-06,,0.000009
8/24/2016,Pageviews %,0.0000018,,0.00001
8/25/2016,Pageviews %,1.5E-06,,0.0000094
8/26/2016,Pageviews %,8.80E-07,,0.000014
8/27/2016,Pageviews %,4.80E-07,,1.2E-05
8/28/2016,Pageviews %,8.70E-07,,0.0000098
8/29/2016,Pageviews %,7.60E-07,,0.0000095
8/30/2016,Pageviews %,1.3E-06,,0.000009
8/31/2016,Pageviews %,9.80E-07,,0.0000096
9/1/2016,Pageviews %,0.000001,,0.0000099
9/2/2016,Pageviews %,7.20E-07,,0.00001
9/3/2016,Pageviews %,0.0000027,,0.00001
9/4/2016,Pageviews %,0.0000022,,1.2E-05
9/5/2016,Pageviews %,9.90E-07,,0.000011
9/6/2016,Pageviews %,0.0000012,,0.00001
9/7/2016,Pageviews %,8.60E-07,,0.0000085
9/8/2016,Pageviews %,0.0000018,,0.000013
9/9/2016,Pageviews %,0.0000016,,0.000011
9/10/2016,Pageviews %,0.0000016,,0.00001
9/11/2016,Pageviews %,0.0000016,,0.00001
9/12/2016,Pageviews %,0.0000012,,7.7E-06
9/13/2016,Pageviews %,8.40E-07,,0.00001
9/14/2016,Pageviews %,0.0000011,,2.57E-05
9/15/2016,Pageviews %,0.0000014,,0.000011
9/16/2016,Pageviews %,0.000002,,1.2E-05
9/17/2016,Pageviews %,0.0000044,,0.000016
9/18/2016,Pageviews %,0.0000023,,0.000018
9/19/2016,Pageviews %,0.000002,,0.000013
9/20/2016,Pageviews %,0.0000014,,0.000031
9/21/2016,Pageviews %,0.0000022,,0.000013
9/22/2016,Pageviews %,0.0000023,,0.000015
9/23/2016,Pageviews %,7.40E-07,,0.000014
9/24/2016,Pageviews %,0.0000029,,0.00002
9/25/2016,Pageviews %,0.0000022,,0.000016
9/26/2016,Pageviews %,0.0000012,,0.000013
9/27/2016,Pageviews %,1.3E-06,,0.000015
9/28/2016,Pageviews %,0.0000017,,0.000015
9/29/2016,Pageviews %,0.0000023,,0.000014
9/30/2016,Pageviews %,9.20E-07,,0.000016
10/1/2016,Pageviews %,0.0000031,,0.00002
10/2/2016,Pageviews %,0.0000041,,0.000018
10/3/2016,Pageviews %,0.0000016,,0.000018
10/4/2016,Pageviews %,0.0000029,,0.000016
10/5/2016,Pageviews %,0.0000022,,0.000013
10/6/2016,Pageviews %,8.20E-07,,0.000015
10/7/2016,Pageviews %,0.0000019,,0.000015
10/8/2016,Pageviews %,0.0000034,,0.000023
10/9/2016,Pageviews %,0.0000032,,0.00002
10/10/2016,Pageviews %,2.00E-07,,1.2E-05
10/11/2016,Pageviews %,0.0000022,,0.000019
10/12/2016,Pageviews %,0.0000017,,0.000015
10/13/2016,Pageviews %,2.6E-06,,0.00002
10/14/2016,Pageviews %,9.60E-07,,0.000016
10/15/2016,Pageviews %,1.3E-06,,0.00002
10/16/2016,Pageviews %,0.0000011,,0.000019
10/17/2016,Pageviews %,9.60E-07,,0.000015
10/18/2016,Pageviews %,0.0000017,,0.000037
10/19/2016,Pageviews %,0.0000023,,0.000016
10/20/2016,Pageviews %,9.70E-07,,0.00002
10/21/2016,Pageviews %,0.0000036,,0.000016
10/22/2016,Pageviews %,0.0000043,,0.000022
10/23/2016,Pageviews %,0.0000051,,0.000017
10/24/2016,Pageviews %,8.70E-07,,0.000015
10/25/2016,Pageviews %,0.0000021,,0.000019
10/26/2016,Pageviews %,0.0000012,,0.0000272
10/27/2016,Pageviews %,7.90E-07,,0.0000092
10/28/2016,Pageviews %,9.10E-07,,0.000022
10/29/2016,Pageviews %,0.0000028,,0.000011
10/30/2016,Pageviews %,0.0000018,,0.0000097
10/31/2016,Pageviews %,6.00E-07,,0.0000083
11/1/2016,Pageviews %,0.000001,,0.00001
11/2/2016,Pageviews %,1.3E-06,,0.0000255
11/3/2016,Pageviews %,0.0000018,,0.0000236
11/4/2016,Pageviews %,0.000002,,0.0000087
11/5/2016,Pageviews %,1.3E-06,,0.00001
11/6/2016,Pageviews %,0.000002,,0.0000098
11/7/2016,Pageviews %,0.000001,,0.0000082
11/8/2016,Pageviews %,0.0000017,,0.00001
11/9/2016,Pageviews %,0.0000011,,0.000016
11/10/2016,Pageviews %,0.0000028,,0.000011
11/11/2016,Pageviews %,0.0000021,,0.0000271
11/12/2016,Pageviews %,0.0000034,,0.000013
11/13/2016,Pageviews %,0.000001,,0.00001
11/14/2016,Pageviews %,7.40E-07,,0.0000095
11/15/2016,Pageviews %,0.0000016,,0.0000246
11/16/2016,Pageviews %,9.40E-07,,2.4E-05
11/17/2016,Pageviews %,1.5E-06,,0.0000253
11/18/2016,Pageviews %,8.40E-07,,0.000009
11/19/2016,Pageviews %,0.0000011,,0.000014
11/20/2016,Pageviews %,0.0000021,,0.00001
11/21/2016,Pageviews %,0.0000012,,0.0000094
11/22/2016,Pageviews %,0.000001,,0.0000255
11/23/2016,Pageviews %,1.3E-06,,0.0000291
11/24/2016,Pageviews %,1.3E-06,,0.000028
11/25/2016,Pageviews %,0.000001,,0.0000206
11/26/2016,Pageviews %,9.10E-07,,0.0000232
11/27/2016,Pageviews %,9.20E-07,,1.2E-05
11/28/2016,Pageviews %,6.40E-07,,0.0000228
11/29/2016,Pageviews %,0.0000012,,2.11E-05
11/30/2016,Pageviews %,0.000001,,0.0000227
12/1/2016,Pageviews %,1.5E-06,,0.0000219
12/2/2016,Pageviews %,0.0000014,,0.0000267
12/3/2016,Pageviews %,9.90E-07,,0.0000263
12/4/2016,Pageviews %,0.0000023,,0.0000252
12/5/2016,Pageviews %,1.5E-06,,0.0000235
12/6/2016,Pageviews %,0.0000025,,0.000023
12/7/2016,Pageviews %,1.5E-06,,0.0000251
12/8/2016,Pageviews %,0.0000014,,0.0000251
12/9/2016,Pageviews %,0.0000012,,0.0000252
12/10/2016,Pageviews %,0.0000016,,0.0000246
12/11/2016,Pageviews %,0.0000023,,0.0000277
12/12/2016,Pageviews %,0.0000011,,0.0000235
12/13/2016,Pageviews %,8.50E-07,,0.0000238
12/14/2016,Pageviews %,0.0000014,,0.0000279
12/15/2016,Pageviews %,0.0000014,,0.0000223
12/16/2016,Pageviews %,0.0000011,,0.0000242
12/17/2016,Pageviews %,0.0000022,,0.0000302
12/18/2016,Pageviews %,5.50E-07,,0.0000265
12/19/2016,Pageviews %,0.0000014,,0.000025
12/20/2016,Pageviews %,0.0000018,,2.4E-05
12/21/2016,Pageviews %,0.0000027,,0.00003
12/22/2016,Pageviews %,0.0000037,,0.000038
12/23/2016,Pageviews %,0.0000043,,0.0000379
12/24/2016,Pageviews %,0.0000019,,0.0000385
12/25/2016,Pageviews %,1.3E-06,,0.0000311
12/26/2016,Pageviews %,0.0000022,,0.0000342
12/27/2016,Pageviews %,1.5E-06,,0.0000334
12/28/2016,Pageviews %,0.0000021,,0.0000405
12/29/2016,Pageviews %,0.0000027,,0.0000332
12/30/2016,Pageviews %,0.0000021,,0.0000386
12/31/2016,Pageviews %,0.0000014,,0.0000456
1/1/2017,Pageviews %,0.0000012,,0.0000362
1/2/2017,Pageviews %,0.0000028,,0.0000448
1/3/2017,Pageviews %,0.0000018,,0.0000403
1/4/2017,Pageviews %,0.0000037,,0.0000518
1/5/2017,Pageviews %,0.0000039,,0.0000487
1/6/2017,Pageviews %,3E-06,,0.0000387
1/7/2017,Pageviews %,0.0000036,,0.0000413
1/8/2017,Pageviews %,0.0000028,,0.0000377
1/9/2017,Pageviews %,0.000002,,0.0000314
1/10/2017,Pageviews %,0.0000025,,0.0000312
1/11/2017,Pageviews %,0.0000027,,0.0000329
1/12/2017,Pageviews %,0.0000027,,0.0000284
1/13/2017,Pageviews %,0.0000017,,0.0000272
1/14/2017,Pageviews %,0.0000018,,0.0000303
1/15/2017,Pageviews %,0.0000021,,0.0000328
1/16/2017,Pageviews %,0.0000033,,0.0000271
1/17/2017,Pageviews %,0.0000024,,0.0000294
1/18/2017,Pageviews %,0.0000024,,0.0000282
1/19/2017,Pageviews %,0.0000019,,0.0000314
1/20/2017,Pageviews %,0.0000027,,0.0000252
1/21/2017,Pageviews %,0.0000018,,0.000034
1/22/2017,Pageviews %,0.0000024,,0.00002
1/23/2017,Pageviews %,0.000002,,0.0000246
1/24/2017,Pageviews %,0.0000022,,0.0000307
1/25/2017,Pageviews %,0.0000021,,0.0000268
1/26/2017,Pageviews %,0.0000017,,0.0000296
1/27/2017,Pageviews %,0.0000019,,0.000022
1/28/2017,Pageviews %,0.0000012,,0.0000376
1/29/2017,Pageviews %,0.0000016,,0.000023
1/30/2017,Pageviews %,0.0000017,,0.0000221
1/31/2017,Pageviews %,0.0000021,,0.0000233
2/1/2017,Pageviews %,1.3E-06,,0.0000294
2/2/2017,Pageviews %,0.0000019,,0.0000203
2/3/2017,Pageviews %,0.000002,,0.0000248
2/4/2017,Pageviews %,0.0000027,,4.33E-05
2/5/2017,Pageviews %,0.0000027,,0.0000442
2/6/2017,Pageviews %,1.5E-06,,0.0000246
2/7/2017,Pageviews %,0.000002,,0.0000221
2/8/2017,Pageviews %,0.000002,,0.0000321
2/9/2017,Pageviews %,0.0000024,,0.0000395
2/10/2017,Pageviews %,0.0000029,,0.0000249
2/11/2017,Pageviews %,0.0000025,,0.0000375
2/12/2017,Pageviews %,0.0000019,,0.0000322
2/13/2017,Pageviews %,0.0000022,,0.0000203
2/14/2017,Pageviews %,0.0000024,,0.0000207
2/15/2017,Pageviews %,1.3E-06,,0.0000277
2/16/2017,Pageviews %,0.0000024,,0.0000304
2/17/2017,Pageviews %,0.000002,,0.0000236
2/18/2017,Pageviews %,0.0000014,,0.00003
2/19/2017,Pageviews %,0.0000016,,0.0000412
2/20/2017,Pageviews %,0.000002,,0.0000327
2/21/2017,Pageviews %,2.6E-06,,0.0000325
2/22/2017,Pageviews %,0.0000029,,0.0000352
2/23/2017,Pageviews %,0.0000042,,0.0000343
2/24/2017,Pageviews %,0.0000034,,4.16E-05
2/25/2017,Pageviews %,0.0000023,,0.0000323
2/26/2017,Pageviews %,0.0000031,,0.0000424
2/27/2017,Pageviews %,0.0000023,,4.22E-05
2/28/2017,Pageviews %,0.0000033,,0.0000511
3/1/2017,Pageviews %,3E-06,,4.33E-05
3/2/2017,Pageviews %,0.0000029,,0.000053
3/3/2017,Pageviews %,0.000004,,0.0000544
3/4/2017,Pageviews %,0.0000044,,0.0000565
3/5/2017,Pageviews %,0.0000027,,0.0000518
3/6/2017,Pageviews %,2.6E-06,,0.000044
3/7/2017,Pageviews %,0.0000023,,0.0000443
3/8/2017,Pageviews %,0.0000034,,0.0000466
3/9/2017,Pageviews %,0.0000034,,0.0000445
3/10/2017,Pageviews %,0.0000037,,0.0000522
3/11/2017,Pageviews %,0.0000067,,0.0000538
3/12/2017,Pageviews %,0.0000033,,0.0000551
3/13/2017,Pageviews %,0.0000036,,0.0000565
3/14/2017,Pageviews %,0.0000035,,0.0000494
3/15/2017,Pageviews %,0.0000036,,5.5E-05
3/16/2017,Pageviews %,0.000005,,0.0000687
3/17/2017,Pageviews %,0.0000068,,0.0000689
3/18/2017,Pageviews %,0.0000081,,0.0000722
3/19/2017,Pageviews %,0.000011,,0.0000619
3/20/2017,Pageviews %,0.0000053,,0.0000527
3/21/2017,Pageviews %,0.0000054,,0.0000574
3/22/2017,Pageviews %,0.0000051,,5.56E-05
3/23/2017,Pageviews %,0.0000036,,0.0000479
3/24/2017,Pageviews %,0.0000046,,0.0000577
3/25/2017,Pageviews %,0.0000047,,0.0000651
3/26/2017,Pageviews %,0.0000047,,0.0000569
3/27/2017,Pageviews %,0.000005,,0.000049
3/28/2017,Pageviews %,0.0000042,,0.0000487
3/29/2017,Pageviews %,0.0000036,,0.0000425
3/30/2017,Pageviews %,0.0000041,,0.0000484
3/31/2017,Pageviews %,0.0000051,,4.63E-05
4/1/2017,Pageviews %,0.0000039,,0.0000447
4/2/2017,Pageviews %,0.0000057,,0.0000469
4/3/2017,Pageviews %,0.0000043,,0.0000483
4/4/2017,Pageviews %,0.000004,,0.0000502
4/5/2017,Pageviews %,2.6E-06,,0.0000459
4/6/2017,Pageviews %,0.0000037,,0.0000446
4/7/2017,Pageviews %,2.6E-06,,0.0000471
4/8/2017,Pageviews %,0.0000035,,0.0000478
4/9/2017,Pageviews %,0.0000044,,4.8E-05
4/10/2017,Pageviews %,0.0000035,,0.0000413
4/11/2017,Pageviews %,0.0000045,,0.0000423
4/12/2017,Pageviews %,0.0000032,,0.000047
4/13/2017,Pageviews %,0.0000049,,0.0000448
4/14/2017,Pageviews %,0.0000049,,0.000047
4/15/2017,Pageviews %,0.0000043,,0.0000429
4/16/2017,Pageviews %,0.000004,,0.0000438
4/17/2017,Pageviews %,6E-06,,0.0000423
4/18/2017,Pageviews %,0.0000056,,0.0000426
4/19/2017,Pageviews %,0.0000034,,4.22E-05
4/20/2017,Pageviews %,0.000005,,4.22E-05
4/21/2017,Pageviews %,0.000004,,0.0000446
4/22/2017,Pageviews %,0.0000045,,0.0000413
4/23/2017,Pageviews %,0.0000047,,0.0000408
4/24/2017,Pageviews %,0.000004,,0.0000458
4/25/2017,Pageviews %,0.0000033,,0.0000451
4/26/2017,Pageviews %,0.0000041,,0.0000453
4/27/2017,Pageviews %,0.0000051,,0.0000525
4/28/2017,Pageviews %,0.0000057,,0.0000611
4/29/2017,Pageviews %,0.0000053,,0.000059
4/30/2017,Pageviews %,0.0000048,,0.0000607
5/1/2017,Pageviews %,6E-06,,0.0000714
5/2/2017,Pageviews %,0.0000039,,0.0000618
5/3/2017,Pageviews %,0.0000036,,0.0000685
5/4/2017,Pageviews %,0.0000062,,0.0000929
5/5/2017,Pageviews %,0.0000061,,0.0000962
5/6/2017,Pageviews %,0.0000045,,0.0000789
5/7/2017,Pageviews %,0.0000051,,0.0000872
5/8/2017,Pageviews %,0.0000047,,0.0000802
